countrycode,country,rgdpe_2013,rgdpo_2013,pop_2013,emp_2013,avh_2013,rgdpe_2014,rgdpo_2014,pop_2014,emp_2014,avh_2014
SUR,Suriname,8296.571289,7601.874512,0.53345,0.200314999,,8426.287109,7917.651367,0.538248,0.198793009,
BDI,Burundi,7773.305664,8639.863281,10.465959,4.770714283,,8355.985352,9108.819336,10.81686,4.925570011,
FJI,Fiji,6746.085449,6504.890625,0.880487,0.309816986,,7010.678223,6359.188477,0.88645,0.314929008,
BTN,Bhutan,4917.242676,4995.517578,0.754637,0.348879009,,5263.611328,5335.455566,0.765008,0.356808007,
MDV,Maldives,4819.859375,6191.344727,0.351111,0.151760012,,5143.455566,6125.611816,0.357415,0.154554993,
LSO,Lesotho,4822.052734,5581.760742,2.083061,0.65892297,,5081.400879,6038.987793,2.109197,0.653806984,
CUW,Cura̤ao,4089.745361,3468.655762,0.154304,,,4044.346191,3374.652832,0.155763,,
BRB,Barbados,4101.959473,2745.929443,0.282503,0.123480402,1672.278802,4029.591553,2901.101807,0.28338,0.123747721,1672.278802
ABW,Aruba,3866.956787,4215.874512,0.102921,0.04925159,,3924.260254,3858.201416,0.103441,0.049500432,
LBR,Liberia,3448.289063,3605.455566,4.293692,1.439303994,,3683.04834,3827.025146,4.396554,1.475268006,
BMU,Bermuda,3619.178955,2285.149414,0.062773,,,3588.543701,2331.326172,0.062376,,
CPV,Cabo Verde,2943.888672,2909.252686,0.507258,0.213732988,,3232.399902,3351.530518,0.513906,0.218503997,
CYM,Cayman Islands,3084.040771,2794.082275,0.058369,,,3045.288086,272.078125,0.059172,,
GMB,Gambia,2926.658936,3368.451172,1.866878,0.543289006,,2978.016357,3610.852051,1.928201,0.558537006,
BLZ,Belize,2722.817871,2496.115479,0.344193,0.139475003,,2951.942627,2783.329102,0.351706,0.144917995,
CAF,Central African Republic,2753.849121,2784.416748,4.710678,2.028727055,,2855.040771,2880.779297,4.804316,2.097273111,
DJI,Djibouti,2455.557373,2459.145752,0.864554,0.122420996,,2804.080566,2872.553955,0.876174,0.135804996,
SYC,Seychelles,2365.618408,2240.949219,0.095215,0.045118008,,2475.496338,2386.640625,0.095868,0.045427434,
GNB,Guinea-Bissau,2153.139404,2173.822754,1.757138,0.693687975,,2252.452148,2272.609863,1.800513,0.712967992,
ATG,Antigua and Barbuda,1828.721924,1778.42688,0.089985,,,1909.045776,1364.635986,0.0909,,
LCA,Saint Lucia,1835.842041,1089.430176,0.182305,0.078310929,1878.480906,1848.785522,1937.394165,0.183645,0.079438403,1878.480906
SXM,Sint Maarten (Dutch part),1235.70752,1043.954102,0.036442,,,1288.336182,1032.04541,0.037696,,
KNA,Saint Kitts and Nevis,1183.025024,1063.579712,0.054301,,,1281.525879,1144.848633,0.054944,,
GRD,Grenada,1161.840454,1113.45752,0.105902,,,1186.353638,1130.820313,0.106349,,
COM,Comoros,1088.963501,1141.552612,0.751697,0.205959991,,1124.220215,1178.298706,0.769991,0.211653993,
VCT,St. Vincent and the Grenadines,1046.559082,943.0194092,0.109327,0.04479,,1051.593384,944.8659668,0.10936,0.044157002,
VGB,British Virgin Islands,800.4213257,720.9747925,0.029058,,,798.074585,753.338501,0.029585,,
DMA,Dominica,728.9881592,656.1859131,0.072005,,,737.0307007,664.7858276,0.072341,,
TCA,Turks and Caicos Islands,673.7545166,265.7475586,0.033103,,,703.5806885,80.53002167,0.03374,,
STP,Sao Tome and Principe,564.7219238,612.3059082,0.182386,0.054229002,,603.6150513,648.6930542,0.186342,0.055428002,
AIA,Anguilla,363.3634949,265.0374146,0.0143,,,394.6193237,296.4331055,0.01446,,
MSR,Montserrat,94.32122803,84.47594452,0.005063,,,97.96374512,89.63037109,0.005094,,
